Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Jaru (RO);-;17;16;...;-;-;-;-;5;-;-;4080;-;-;-;...;1276;368;-;368;...;180;...;-;-;-;-;-;-;20;-;-;-;-;408;-;-;-;8;-;-;45;19;-;-;-;-;-;21400;-;14;-;92;-;361;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-
Ji-Paraná (RO);-;101;9;...;-;-;-;1;-;-;-;293;-;-;-;...;72;250;-;250;...;1250;...;-;-;-;-;-;-;50;-;-;-;-;1;-;-;-;28;-;-;65;32;-;-;-;8;-;2574;-;9;-;21;-;72;-;-;-;-;2;-;-;-;-;-;14;-;-;-;1;-
Machadinho D'Oeste (RO);-;450;-;...;-;-;-;8;766;-;-;4457;-;-;-;...;154;1787;-;1787;...;660;...;-;-;-;-;-;-;25;-;-;-;-;6;-;-;-;-;18;-;101;30;-;-;-;54;-;22375;-;7;-;488;-;872;-;-;-;-;6;-;-;48953;-;33;30;-;-;-;5;-
Nova Brasilândia D'Oeste (RO);-;230;-;...;-;-;-;3;1;-;-;465;-;-;-;...;2;15305;-;15305;...;-;...;-;-;-;-;-;-;25;-;-;-;-;45;-;-;-;18;1;-;118;-;-;-;-;114;-;5400;-;243;-;250;-;1140;-;-;-;-;2;-;-;3000;-;-;-;-;-;-;24;-
Ouro Preto do Oeste (RO);-;21;-;...;-;-;-;-;15;-;-;392;-;-;-;...;720;431;-;431;...;110;...;-;-;-;-;-;-;25;-;-;-;-;8;-;-;-;-;-;-;24;8;-;-;-;19;-;1960;-;-;-;122;-;45;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-
Pimenta Bueno (RO);-;1125;-;...;-;-;-;-;54;-;-;741;-;-;-;...;2;65;-;65;...;-;...;-;-;-;-;-;-;112;-;-;-;-;36;-;-;-;-;-;-;109;77;-;-;-;50;-;7040;-;18;-;167;-;4050;-;-;-;-;1;-;-;6500;-;-;170;-;-;-;2;42
Porto Velho (RO);-;800;419;...;-;-;-;4;15930;-;-;9547;-;-;-;...;132;5408;-;5408;...;1000;...;-;-;-;-;-;-;812;-;-;-;-;62;-;-;-;50;1;-;600;230;-;-;-;510;-;99990;-;150;-;3740;-;100290;-;-;-;-;32;-;-;41920;-;105;160;-;-;-;19;-
Presidente Médici (RO);-;95;-;...;-;-;-;8;60;-;-;557;-;-;-;...;26;167;-;167;...;1000;...;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;410;70;-;-;-;30;-;3400;-;15;-;25;-;420;-;-;-;-;-;-;-;-;-;-;20;-;-;-;6;70
Rio Crespo (RO);-;540;-;...;-;-;-;-;10098;-;-;400;-;-;-;...;3;117;-;117;...;-;...;-;-;-;-;-;-;-;-;-;-;-;365;-;-;-;-;2;-;-;-;-;-;-;-;-;6225;-;-;-;120;-;34230;-;-;-;-;-;-;-;87153;-;-;-;-;-;-;61;-
Rolim de Moura (RO);-;1200;15;...;-;-;-;21;300;-;-;928;-;-;-;...;17;5257;-;5257;...;300;...;-;-;-;-;-;-;80;-;-;-;-;25;-;-;-;15;3;-;800;25;-;-;-;350;-;8667;-;200;-;600;-;5080;-;-;-;-;2;-;-;12800;-;-;75;-;-;-;-;-
Santa Luzia D'Oeste (RO);-;11;-;...;-;-;-;-;-;-;-;465;-;-;-;...;22;1545;-;1545;...;1500;...;-;-;-;-;-;-;1;-;-;-;-;62;-;-;-;5;-;-;45;-;-;-;-;-;-;1972;-;5;-;18;-;8336;-;-;-;-;-;-;-;13676;-;-;670;-;-;-;-;-
Vilhena (RO);-;594;-;...;-;-;-;2;950;-;-;45;-;-;-;...;1;38;-;38;...;42;...;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;19;-;-;110;23;-;-;-;66;-;550;-;-;-;38;-;165046;-;-;-;-;-;-;-;150500;-;8;350;-;-;-;3;-
São Miguel do Guaporé (RO);-;-;-;...;-;-;-;-;19022;-;-;120;-;-;-;...;2;44148;-;44148;...;-;...;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;18;-;-;-;-;-;2745;-;185;-;85;-;16549;-;-;-;-;-;-;-;45000;-;-;-;-;-;-;176;-
Nova Mamoré (RO);-;500;23;...;-;-;-;2;11100;-;-;1628;-;-;-;...;27;455;-;455;...;-;...;-;-;-;-;-;-;52;-;-;-;-;24;-;-;-;-;-;-;40;23;-;-;-;-;-;18773;-;18;-;150;-;1922;-;-;-;-;-;-;-;9360;-;-;49;-;-;-;3;-
Alvorada D'Oeste (RO);-;45;4;...;-;-;-;-;315;-;-;545;-;-;-;...;26;3345;-;3345;...;600;...;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;35;-;-;32;5;-;-;-;-;-;5080;-;28;-;600;-;306;-;-;-;-;6;-;-;1980;-;-;210;-;-;-;5;-
Alto Alegre dos Parecis (RO);-;66;4;...;-;-;-;8;240;-;-;520;-;-;-;...;6;15675;-;15675;...;452;...;-;-;-;-;-;-;13;-;-;-;-;6000;-;-;-;109;-;-;158;49;-;-;-;71;-;3680;-;63;-;210;-;218000;-;-;-;-;18;-;-;1800;-;2;62;-;-;-;2;-
Alto Paraíso (RO);-;300;30;...;-;-;-;5;4950;-;-;5205;-;-;-;...;17;694;-;694;...;-;...;-;-;-;-;-;-;50;-;-;-;-;6;-;-;-;-;20;-;110;56;-;-;-;110;-;1750;-;30;-;1100;-;30264;-;-;-;-;3;-;-;71940;-;-;60;-;-;-;5;-
Buritis (RO);-;250;330;...;-;-;-;8;5;-;-;21890;-;-;-;...;743;10482;-;10482;...;-;...;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;5;-;-;25;45;-;-;-;150;-;16000;-;60;-;1200;-;2127;-;-;-;-;-;-;-;726;-;-;150;-;-;-;3;-
Novo Horizonte do Oeste (RO);-;72;26;...;-;-;-;-;99;-;-;603;-;-;-;...;3;4423;-;4423;...;-;...;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;3200;-;130;-;-;-;2160;-;-;-;-;2;-;-;4800;-;-;40;-;-;-;6;-
Cacaulândia (RO);-;77;13;...;-;-;-;1;-;-;-;372;-;-;-;...;209;40;-;40;...;900;...;-;-;-;-;-;-;63;-;-;-;-;2;-;-;-;10;-;-;60;15;-;-;-;30;-;3500;-;27;-;100;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;4;-
Campo Novo de Rondônia (RO);-;115;-;...;-;-;-;5;400;-;-;3128;-;-;-;...;45;1010;-;1010;...;25;...;-;-;-;-;-;-;12;-;-;-;-;11;-;-;-;5;-;-;21;16;-;-;-;-;-;16400;-;42;-;115;-;1505;-;-;-;-;-;-;-;792;-;-;-;-;-;-;-;-
Candeias do Jamari (RO);-;563;339;...;-;-;-;2;1500;-;-;1440;-;-;-;...;13;288;-;288;...;935;...;-;-;-;-;-;-;102;-;-;-;-;12;-;-;-;72;6;-;55;130;-;-;-;196;-;35024;-;140;-;1000;-;14400;-;-;-;-;8;-;-;3360;-;10;-;-;-;-;5;-
Castanheiras (RO);-;63;-;...;-;-;-;-;15;-;-;130;-;-;-;...;1;203;-;203;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;17;-;-;-;-;-;486;-;165;-;190;-;6853;-;-;-;-;2;-;-;10083;-;-;-;-;-;-;2;-
Chupinguaia (RO);-;400;-;...;-;-;-;2;3;-;-;329;-;-;-;...;1;135;-;135;...;350;...;-;-;-;-;-;-;3;-;-;-;-;31;-;-;-;-;-;-;13;5;-;-;-;10;-;1713;-;4;-;250;-;93992;-;-;-;-;-;-;-;131350;-;-;-;-;-;-;29;-
Cujubim (RO);-;1182;5;...;-;-;-;2;10800;-;-;330;-;-;-;...;2;494;-;494;...;90;...;-;-;-;-;-;-;24;-;-;-;-;1255;-;-;-;3;6;-;29;8;-;-;-;9;-;3300;-;27;-;190;-;10545;-;-;-;-;1;-;-;48217;-;8;-;-;-;-;12;-
Governador Jorge Teixeira (RO);-;45;-;...;-;-;-;14;3;-;-;11100;-;-;-;...;179;796;-;796;...;400;...;-;-;-;-;-;-;20;-;-;-;-;34;-;-;-;12;-;-;22;7;-;-;-;-;-;9200;-;25;-;150;-;660;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-
Itapuã do Oeste (RO);-;240;75;...;-;-;-;-;7200;-;-;71;-;-;-;...;21;17;-;17;...;35;...;-;-;-;-;-;-;10;-;-;-;-;1;-;-;-;-;1;-;105;8;-;-;-;55;-;5400;-;9;-;-;-;1087;-;-;-;-;-;-;-;9210;-;-;19;-;-;-;2;-
Ministro Andreazza (RO);-;11;-;...;-;-;-;-;6;-;-;1209;-;-;-;...;10;9150;-;9150;...;-;...;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;12;-;-;91;356;-;-;-;520;-;1320;-;38;-;36;-;483;-;-;-;-;-;-;-;-;-;140;10;-;-;-;-;-
Mirante da Serra (RO);-;190;2;...;-;-;-;3;9;-;-;120;-;-;-;...;56;486;-;486;...;210;...;-;-;-;-;-;-;24;-;-;-;-;6;-;-;-;-;-;-;5;3;-;-;-;5;-;7350;-;-;-;50;-;3510;-;-;-;-;2;-;-;-;-;-;6;-;-;-;-;-
Monte Negro (RO);-;31;-;...;-;-;-;-;5;-;-;5440;-;-;-;...;307;517;-;517;...;175;...;-;-;-;-;-;-;127;-;-;-;-;12;-;-;-;-;-;-;21;20;-;-;-;45;-;17200;-;42;-;400;-;219;-;-;-;-;-;-;-;-;-;7;-;-;-;-;2;-
Nova União (RO);-;95;-;...;-;-;-;4;5;-;-;401;-;-;-;...;187;240;-;240;...;650;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;8;-;-;-;-;16;-;1008;-;-;-;20;-;664;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;6
Parecis (RO);-;11;-;...;-;-;-;-;15;-;-;186;-;-;-;...;1;247;-;247;...;-;...;-;-;-;-;-;-;5;-;-;-;-;30;-;-;-;-;-;-;5;-;-;-;-;-;-;1872;-;20;-;40;-;1490;-;-;-;-;-;-;-;4700;-;-;-;-;-;-;-;-
Pimenteiras do Oeste (RO);-;50;-;...;-;-;-;-;9000;-;-;78;-;-;-;...;-;12;-;12;...;350;...;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;214;-;-;-;-;-;157387;-;-;-;-;-;-;-;161460;-;-;-;-;-;-;3;-
Primavera de Rondônia (RO);-;43;24;...;-;-;-;2;120;-;-;140;-;-;-;...;2;597;-;597;...;550;...;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;12;-;-;21;17;-;-;-;45;-;1552;-;6;-;306;-;132;-;-;-;-;3;-;-;100;-;8;120;-;-;-;2;-
São Felipe D'Oeste (RO);-;20;8;...;-;-;-;2;7;-;-;1118;-;-;-;...;30;566;-;566;...;100;...;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;10;-;-;35;6;-;-;-;72;-;1104;-;25;-;120;-;6580;-;-;-;-;5;-;-;3201;-;4;175;-;-;-;6;-
São Francisco do Guaporé (RO);-;120;-;...;-;-;-;-;3250;-;-;56;-;-;-;...;2;1149;-;1149;...;-;...;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;975;-;-;-;110;-;2980;-;-;-;-;5;-;-;5400;-;-;34;-;-;-;72;6
Seringueiras (RO);-;32;-;...;-;-;-;2;239;-;-;342;-;-;-;...;15;2271;-;2271;...;120;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1400;-;270;-;83;-;2760;-;-;-;-;4;-;-;10011;-;-;48;-;-;-;23;-
Teixeirópolis (RO);-;13;-;...;-;-;-;-;-;-;-;185;-;-;-;...;27;20;-;20;...;-;...;-;-;-;-;-;-;35;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1530;-;-;-;40;-;89;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-
Theobroma (RO);-;100;-;...;-;-;-;-;27;-;-;1860;-;-;-;...;160;951;-;951;...;366;...;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;12990;-;-;-;192;-;6274;-;-;-;-;-;-;-;2999;-;-;-;-;-;-;36;-
Urupá (RO);-;-;-;...;-;-;-;-;-;-;-;185;-;-;-;...;109;206;-;206;...;96;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1620;-;5;-;26;-;371;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-
Vale do Anari (RO);-;11;14;...;-;-;-;4;1051;-;-;270;-;-;-;...;20;846;-;846;...;700;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;5;1;-;45;25;-;-;-;15;-;9250;-;9;-;120;-;3825;-;-;-;-;3;-;-;7103;-;5;32;-;-;-;5;-
Vale do Paraíso (RO);-;-;-;...;-;-;-;-;-;-;-;250;-;-;-;...;179;195;-;195;...;180;...;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;12;4;-;-;-;19;-;600;-;18;-;81;-;90;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-
Acrelândia (AC);-;300;-;...;-;-;-;-;72;-;-;15000;19;-;2;...;-;1400;-;1400;...;1400;...;-;-;-;-;-;-;30;-;-;-;-;100;-;-;-;-;-;-;675;640;-;-;-;360;-;9600;-;70;-;427;-;2430;-;3;-;-;-;-;-;-;-;121;-;-;-;-;5;-
Assis Brasil (AC);-;156;-;...;-;-;-;-;228;-;-;2640;-;-;-;...;-;60;-;60;...;390;...;-;-;-;-;-;-;18;-;-;-;-;138;-;-;-;-;-;-;52;38;-;-;-;40;-;7120;-;-;-;400;-;963;-;-;-;-;-;-;-;-;-;25;-;-;-;-;1;-
Brasiléia (AC);-;168;-;...;-;-;-;-;420;-;-;1920;18;-;3;...;-;345;-;345;...;300;...;-;-;-;-;-;-;24;-;-;-;-;286;-;-;-;-;-;-;167;105;-;-;-;110;-;10880;-;24;-;473;-;3660;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-
Bujari (AC);-;325;200;...;-;-;-;-;83;-;-;2490;28;-;3;...;-;-;-;-;...;1170;...;-;-;-;-;-;-;54;-;-;-;-;110;-;-;-;-;-;-;420;688;-;-;-;132;-;11600;-;40;-;1260;-;3614;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-
Capixaba (AC);-;780;-;...;-;-;-;30;186;-;-;3443;25;-;60;...;-;7;-;7;...;500;...;-;-;-;-;-;-;18;-;-;-;-;70;-;-;-;-;-;-;290;225;-;-;-;195;-;12600;-;285;-;1015;-;14550;-;-;-;-;-;-;-;3812;-;90;-;-;-;-;-;-
Cruzeiro do Sul (AC);-;468;-;...;-;-;-;-;264;-;-;3616;62;-;-;...;-;-;-;-;...;1156;...;-;-;-;-;-;-;225;-;-;-;-;193;-;-;-;-;-;-;380;98;-;-;-;154;-;62650;-;-;-;1013;-;1387;-;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-
Epitaciolândia (AC);-;900;-;...;-;-;-;-;280;-;-;2760;26;-;2;...;-;48;-;48;...;300;...;-;-;-;-;-;-;54;-;-;-;-;105;-;-;-;-;-;-;168;109;-;-;-;121;-;11350;-;32;-;910;-;5735;-;-;-;-;-;-;-;67;-;52;-;-;-;-;2;-
Feijó (AC);-;190;-;...;-;-;-;-;320;-;-;6875;-;-;-;...;-;55;-;55;...;500;...;-;-;-;-;-;-;52;-;-;-;-;79;-;12;-;-;-;-;202;107;-;-;-;192;-;46250;-;14;-;636;-;6380;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-
Jordão (AC);-;75;-;...;-;-;-;-;55;-;-;1200;-;-;-;...;-;-;-;-;...;200;...;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;54;33;-;-;-;60;-;11100;-;-;-;220;-;774;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-
Mâncio Lima (AC);-;65;-;...;-;-;-;-;176;-;-;552;-;-;-;...;-;120;-;120;...;564;...;-;-;-;-;-;-;156;-;-;-;-;163;-;-;-;-;-;-;56;70;-;-;-;111;-;49749;-;23;-;1250;-;840;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-
Manoel Urbano (AC);-;55;-;...;-;-;-;-;84;-;-;4200;26;-;-;...;-;170;-;170;...;375;...;-;-;-;-;-;-;18;-;-;-;-;105;-;-;-;-;-;-;91;195;-;-;-;72;-;7150;-;23;-;384;-;1239;-;-;-;-;-;-;-;-;-;48;-;-;-;-;6;-
Marechal Thaumaturgo (AC);-;88;-;...;-;-;-;-;180;-;-;1380;-;-;-;...;-;-;-;-;...;690;...;-;-;-;-;-;-;14;-;-;-;-;235;-;78;-;-;-;-;56;27;-;-;-;50;-;45200;-;-;-;1190;-;1152;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-
Plácido de Castro (AC);-;156;-;...;-;-;-;18;24;-;-;3750;77;-;34;...;-;63;-;63;...;325;...;-;-;-;-;-;-;43;-;-;-;-;28;-;-;-;-;-;-;1496;1760;-;-;-;156;-;10600;-;136;-;341;-;11822;-;-;-;-;-;-;-;10167;-;288;-;-;-;-;-;-
Porto Walter (AC);-;33;-;...;-;-;-;-;78;-;-;1430;30;-;-;...;-;-;-;-;...;410;...;-;-;-;-;-;-;14;-;-;-;-;126;-;-;-;-;-;-;39;27;-;-;-;36;-;18760;-;-;-;300;-;385;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-
Rio Branco (AC);-;338;-;...;-;-;-;-;144;-;-;5643;50;-;4;...;-;6;-;6;...;810;...;-;-;-;-;-;-;91;-;-;-;-;156;-;-;-;-;-;-;490;384;-;-;-;168;-;23200;-;174;-;1540;-;13520;-;-;-;-;-;-;-;4610;-;188;-;-;-;-;10;-
Rodrigues Alves (AC);-;120;-;...;-;-;-;-;345;-;-;675;13;-;-;...;-;-;-;-;...;426;...;-;-;-;-;-;-;160;-;-;-;-;174;-;-;-;-;-;-;54;120;-;-;-;38;-;45800;-;-;-;438;-;675;-;-;-;-;-;-;-;-;-;51;-;-;-;-;2;-
Santa Rosa do Purus (AC);-;80;-;...;-;-;-;60;35;-;-;1870;68;-;-;...;-;-;-;-;...;253;...;-;-;-;-;-;-;12;-;-;-;-;27;-;-;-;-;-;-;72;75;-;-;-;88;-;5600;-;-;-;385;-;468;-;-;-;-;-;-;-;-;-;22;-;-;-;-;3;-
Senador Guiomard (AC);-;312;-;...;-;-;-;9;57;-;-;2875;52;-;51;...;-;79;-;79;...;375;...;-;-;-;-;-;-;180;-;-;-;-;45;-;-;-;-;-;-;364;345;-;-;-;234;-;14400;-;481;-;2248;-;14816;-;42;-;-;-;-;-;900;-;299;-;-;-;-;6;-
Sena Madureira (AC);-;132;-;...;-;-;-;-;300;-;-;2400;47;-;6;...;-;28;-;28;...;390;...;-;-;-;-;-;-;90;-;-;-;-;358;-;31;-;-;-;-;540;375;-;-;-;216;-;39600;-;32;-;500;-;3325;-;-;-;-;-;-;-;-;-;144;-;-;-;-;4;-
Tarauacá (AC);-;400;-;...;-;-;-;-;400;-;-;8125;-;-;-;...;-;-;-;-;...;750;...;-;-;-;-;-;-;30;-;-;-;-;82;-;-;-;-;-;-;210;70;-;-;-;160;-;55000;-;8;-;845;-;5720;-;-;-;-;-;-;-;-;-;96;-;-;-;-;2;-
Xapuri (AC);-;143;-;...;-;-;-;-;592;-;-;2023;-;-;4;...;-;42;-;42;...;750;...;-;-;-;-;-;-;12;-;-;-;-;205;-;-;-;-;-;-;140;29;-;-;-;90;-;17500;-;16;-;715;-;4660;-;-;-;-;-;-;-;600;-;24;-;-;-;-;-;-
Porto Acre (AC);-;840;-;...;-;-;-;5;150;-;-;7500;52;-;-;...;-;67;-;67;...;405;...;-;-;-;-;-;-;84;-;-;-;-;56;-;-;-;-;-;-;529;264;-;-;-;412;-;16350;-;76;-;1215;-;7770;-;-;-;-;-;-;-;-;-;113;-;-;-;-;2;-
Alvarães (AM);-;74;1025;...;-;-;-;-;-;-;-;285;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;50000;-;-;-;156;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Amaturá (AM);1;380;-;...;-;-;-;-;-;-;-;280;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;2072;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anamã (AM);-;-;225;...;-;-;-;-;-;-;-;500;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;700;-;1000;-;180;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anori (AM);-;-;700;...;-;-;-;-;-;-;-;250;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;25;-;-;-;8;-;-;628;100;-;1400;-;12;-;80;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Apuí (AM);-;132;-;...;-;-;-;-;148;-;-;700;50;-;-;...;22;280;-;280;...;-;...;-;-;-;-;-;-;110;-;-;-;-;6;-;-;-;-;28;-;135;21;-;-;-;-;-;6050;-;53;-;1800;-;1500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Atalaia do Norte (AM);15;125;15;...;-;-;-;-;-;-;-;1700;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;42;15;-;-;-;74;-;2900;-;-;-;230;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Autazes (AM);-;364;100;...;-;-;-;-;-;-;-;2000;-;-;-;...;17;6;-;6;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;216;-;-;-;-;375;-;60000;-;420;-;864;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
