Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Jaru (RO);-;43;32;...;-;-;-;-;7;-;-;9180;-;-;-;...;15661;2720;-;2720;...;59;...;-;-;-;-;-;-;22;-;-;-;-;2373;-;-;-;16;-;-;113;48;-;-;-;-;-;23161;-;45;-;109;-;497;-;-;-;-;-;-;-;345;-;-;-;-;-;-;-;-
Ji-Paraná (RO);-;253;18;...;-;-;-;8;-;-;-;623;-;-;-;...;576;1514;-;1514;...;410;...;-;-;-;-;-;-;75;-;-;-;-;3;-;-;-;56;-;-;115;61;-;-;-;14;-;2909;-;29;-;42;-;78;-;-;-;-;17;-;-;-;-;-;43;-;-;-;4;-
Machadinho D'Oeste (RO);-;900;-;...;-;-;-;60;1149;-;-;9360;-;-;-;...;1814;13026;-;13026;...;216;...;-;-;-;-;-;-;28;-;-;-;-;35;-;-;-;-;108;-;179;57;-;-;-;93;-;19880;-;22;-;581;-;1320;-;-;-;-;54;-;-;118926;-;56;72;-;-;-;40;-
Nova Brasilândia D'Oeste (RO);-;690;-;...;-;-;-;21;2;-;-;907;-;-;-;...;22;123520;-;123520;...;-;...;-;-;-;-;-;-;28;-;-;-;-;187;-;-;-;36;6;-;209;-;-;-;-;171;-;9698;-;646;-;238;-;1370;-;-;-;-;40;-;-;7133;-;-;-;-;-;-;98;-
Ouro Preto do Oeste (RO);-;42;-;...;-;-;-;-;22;-;-;915;-;-;-;...;6048;2165;-;2165;...;13;...;-;-;-;-;-;-;28;-;-;-;-;12;-;-;-;-;-;-;43;15;-;-;-;33;-;3273;-;-;-;145;-;49;-;-;-;-;-;-;-;-;-;-;301;-;-;-;-;-
Pimenta Bueno (RO);-;2464;-;...;-;-;-;-;112;-;-;1712;-;-;-;...;22;493;-;493;...;-;...;-;-;-;-;-;-;146;-;-;-;-;150;-;-;-;-;-;-;193;116;-;-;-;86;-;11351;-;58;-;199;-;5295;-;-;-;-;9;-;-;15456;-;-;595;-;-;-;8;420
Porto Velho (RO);-;1760;792;...;-;-;-;32;9717;-;-;29596;-;-;-;...;1676;20782;-;20782;...;120;...;-;-;-;-;-;-;1218;-;-;-;-;178;-;-;-;100;3;-;960;518;-;-;-;714;-;141967;-;375;-;8228;-;46598;-;-;-;-;286;-;-;67072;-;178;491;-;-;-;78;-
Presidente Médici (RO);-;208;-;...;-;-;-;64;90;-;-;1274;-;-;-;...;224;1010;-;1010;...;130;...;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;558;133;-;-;-;52;-;2166;-;48;-;30;-;460;-;-;-;-;-;-;-;-;-;-;61;-;-;-;25;319
Rio Crespo (RO);-;1183;-;...;-;-;-;-;12666;-;-;812;-;-;-;...;31;719;-;719;...;-;...;-;-;-;-;-;-;-;-;-;-;-;579;-;-;-;-;12;-;-;-;-;-;-;-;-;4590;-;-;-;168;-;47922;-;-;-;-;-;-;-;222980;-;-;-;-;-;-;250;-
Rolim de Moura (RO);-;2628;30;...;-;-;-;168;625;-;-;1600;-;-;-;...;186;40216;-;40216;...;98;...;-;-;-;-;-;-;89;-;-;-;-;104;-;-;-;30;18;-;1418;47;-;-;-;605;-;11896;-;641;-;714;-;6327;-;-;-;-;18;-;-;30436;-;-;230;-;-;-;-;-
Santa Luzia D'Oeste (RO);-;24;-;...;-;-;-;-;-;-;-;1053;-;-;-;...;241;11453;-;11453;...;492;...;-;-;-;-;-;-;1;-;-;-;-;258;-;-;-;10;-;-;80;-;-;-;-;-;-;3260;-;16;-;21;-;10862;-;-;-;-;-;-;-;32519;-;-;2057;-;-;-;-;-
Vilhena (RO);-;1366;-;...;-;-;-;10;1501;-;-;96;-;-;-;...;10;283;-;283;...;14;...;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;38;-;-;195;44;-;-;-;114;-;919;-;-;-;45;-;204511;-;-;-;-;-;-;-;391300;-;14;1225;-;-;-;7;-
São Miguel do Guaporé (RO);-;-;-;...;-;-;-;-;28533;-;-;270;-;-;-;...;16;257368;-;257368;...;-;...;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;34;-;-;-;-;-;4112;-;593;-;101;-;18190;-;-;-;-;-;-;-;99000;-;-;-;-;-;-;722;-
Nova Mamoré (RO);-;1095;46;...;-;-;-;16;8714;-;-;2597;-;-;-;...;283;2124;-;2124;...;-;...;-;-;-;-;-;-;58;-;-;-;-;86;-;-;-;-;-;-;71;44;-;-;-;-;-;28475;-;58;-;179;-;1062;-;-;-;-;-;-;-;17622;-;-;115;-;-;-;12;-
Alvorada D'Oeste (RO);-;113;8;...;-;-;-;-;473;-;-;1090;-;-;-;...;217;21813;-;21813;...;197;...;-;-;-;-;-;-;-;-;-;-;-;189;-;-;-;70;-;-;53;9;-;-;-;-;-;7326;-;89;-;1140;-;334;-;-;-;-;54;-;-;4797;-;-;645;-;-;-;21;-
Alto Alegre dos Parecis (RO);-;145;8;...;-;-;-;56;500;-;-;1037;-;-;-;...;66;124512;-;124512;...;148;...;-;-;-;-;-;-;13;-;-;-;-;24750;-;-;-;229;-;-;281;92;-;-;-;123;-;4272;-;202;-;250;-;256226;-;-;-;-;161;-;-;4280;-;4;190;-;-;-;8;-
Alto Paraíso (RO);-;657;59;...;-;-;-;37;7001;-;-;13343;-;-;-;...;181;4449;-;4449;...;-;...;-;-;-;-;-;-;50;-;-;-;-;24;-;-;-;-;120;-;195;106;-;-;-;190;-;1262;-;90;-;1320;-;46513;-;-;-;-;24;-;-;179850;-;-;184;-;-;-;21;-
Buritis (RO);-;550;652;...;-;-;-;58;7;-;-;48535;-;-;-;...;7915;69272;-;69272;...;-;...;-;-;-;-;-;-;-;-;-;-;-;609;-;-;-;10;-;-;44;85;-;-;-;259;-;10440;-;192;-;1428;-;3099;-;-;-;-;-;-;-;1646;-;-;461;-;-;-;12;-
Novo Horizonte do Oeste (RO);-;158;51;...;-;-;-;-;206;-;-;1261;-;-;-;...;33;33706;-;33706;...;-;...;-;-;-;-;-;-;-;-;-;-;-;299;-;-;-;-;-;-;-;-;-;-;-;-;-;5093;-;417;-;-;-;2792;-;-;-;-;18;-;-;11414;-;-;140;-;-;-;25;-
Cacaulândia (RO);-;164;26;...;-;-;-;8;-;-;-;818;-;-;-;...;2195;306;-;306;...;295;...;-;-;-;-;-;-;63;-;-;-;-;8;-;-;-;20;-;-;106;28;-;-;-;52;-;2024;-;87;-;119;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;16;-
Campo Novo de Rondônia (RO);-;252;-;...;-;-;-;44;597;-;-;6437;-;-;-;...;521;6733;-;6733;...;3;...;-;-;-;-;-;-;13;-;-;-;-;46;-;-;-;10;-;-;37;30;-;-;-;-;-;17610;-;135;-;137;-;2182;-;-;-;-;-;-;-;1959;-;-;-;-;-;-;-;-
Candeias do Jamari (RO);-;1233;671;...;-;-;-;13;1185;-;-;4182;-;-;-;...;134;1194;-;1194;...;307;...;-;-;-;-;-;-;113;-;-;-;-;34;-;-;-;143;20;-;64;247;-;-;-;340;-;53924;-;448;-;1190;-;7161;-;-;-;-;72;-;-;5544;-;17;-;-;-;-;21;-
Castanheiras (RO);-;138;-;...;-;-;-;-;31;-;-;274;-;-;-;...;11;1439;-;1439;...;-;...;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;3;32;-;-;-;-;-;524;-;529;-;226;-;9133;-;-;-;-;24;-;-;23967;-;-;-;-;-;-;8;-
Chupinguaia (RO);-;876;-;...;-;-;-;16;5;-;-;767;-;-;-;...;10;1068;-;1068;...;115;...;-;-;-;-;-;-;3;-;-;-;-;129;-;-;-;-;-;-;23;9;-;-;-;17;-;3069;-;13;-;298;-;116445;-;-;-;-;-;-;-;341182;-;-;-;-;-;-;119;-
Cujubim (RO);-;2589;10;...;-;-;-;16;15937;-;-;730;-;-;-;...;20;3565;-;3565;...;30;...;-;-;-;-;-;-;27;-;-;-;-;3148;-;-;-;6;36;-;51;14;-;-;-;16;-;3528;-;87;-;226;-;14329;-;-;-;-;9;-;-;123025;-;14;-;-;-;-;92;-
Governador Jorge Teixeira (RO);-;99;-;...;-;-;-;112;4;-;-;23238;-;-;-;...;1936;5307;-;5307;...;131;...;-;-;-;-;-;-;22;-;-;-;-;142;-;-;-;24;-;-;39;13;-;-;-;-;-;11948;-;80;-;179;-;917;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-
Itapuã do Oeste (RO);-;526;149;...;-;-;-;-;4966;-;-;187;-;-;-;...;252;97;-;97;...;11;...;-;-;-;-;-;-;11;-;-;-;-;7;-;-;-;-;6;-;121;15;-;-;-;104;-;9396;-;27;-;-;-;510;-;-;-;-;-;-;-;15749;-;-;33;-;-;-;3;-
Ministro Andreazza (RO);-;24;-;...;-;-;-;-;12;-;-;2358;-;-;-;...;114;75223;-;75223;...;-;...;-;-;-;-;-;-;-;-;-;-;-;332;-;-;-;24;-;-;161;676;-;-;-;899;-;885;-;122;-;43;-;516;-;-;-;-;-;-;-;-;-;237;31;-;-;-;-;-
Mirante da Serra (RO);-;416;4;...;-;-;-;24;14;-;-;278;-;-;-;...;448;2943;-;2943;...;69;...;-;-;-;-;-;-;27;-;-;-;-;20;-;-;-;-;-;-;7;6;-;-;-;9;-;8790;-;-;-;60;-;6322;-;-;-;-;18;-;-;-;-;-;18;-;-;-;-;-
Monte Negro (RO);-;67;-;...;-;-;-;-;8;-;-;11050;-;-;-;...;3279;3558;-;3558;...;21;...;-;-;-;-;-;-;124;-;-;-;-;59;-;-;-;-;-;-;37;38;-;-;-;78;-;11008;-;135;-;476;-;302;-;-;-;-;-;-;-;-;-;12;-;-;-;-;5;-
Nova União (RO);-;208;-;...;-;-;-;32;8;-;-;877;-;-;-;...;1561;1143;-;1143;...;213;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;14;-;-;-;-;28;-;1681;-;-;-;24;-;728;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;31
Parecis (RO);-;24;-;...;-;-;-;-;31;-;-;419;-;-;-;...;11;1833;-;1833;...;-;...;-;-;-;-;-;-;6;-;-;-;-;125;-;-;-;-;-;-;9;-;-;-;-;-;-;3159;-;64;-;48;-;1740;-;-;-;-;-;-;-;11176;-;-;-;-;-;-;-;-
Pimenteiras do Oeste (RO);-;75;-;...;-;-;-;-;14220;-;-;173;-;-;-;...;-;95;-;95;...;34;...;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;329;-;-;-;-;-;195024;-;-;-;-;-;-;-;419528;-;-;-;-;-;-;8;-
Primavera de Rondônia (RO);-;94;48;...;-;-;-;16;250;-;-;318;-;-;-;...;22;4431;-;4431;...;180;...;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;24;-;-;37;32;-;-;-;78;-;2648;-;19;-;364;-;139;-;-;-;-;27;-;-;235;-;14;368;-;-;-;8;-
São Felipe D'Oeste (RO);-;44;16;...;-;-;-;16;15;-;-;2394;-;-;-;...;329;4168;-;4168;...;11;...;-;-;-;-;-;-;-;-;-;-;-;91;-;-;-;20;-;-;62;11;-;-;-;124;-;1615;-;63;-;143;-;8042;-;-;-;-;45;-;-;7611;-;7;537;-;-;-;25;-
São Francisco do Guaporé (RO);-;263;-;...;-;-;-;-;4867;-;-;133;-;-;-;...;16;7186;-;7186;...;-;...;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;1253;-;-;-;131;-;3228;-;-;-;-;45;-;-;12780;-;-;82;-;-;-;295;27
Seringueiras (RO);-;70;-;...;-;-;-;16;358;-;-;770;-;-;-;...;115;10639;-;10639;...;16;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1120;-;865;-;99;-;3024;-;-;-;-;36;-;-;22650;-;-;147;-;-;-;94;-
Teixeirópolis (RO);-;20;-;...;-;-;-;-;-;-;-;392;-;-;-;...;216;93;-;93;...;-;...;-;-;-;-;-;-;113;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;2690;-;-;-;48;-;97;-;-;-;-;-;-;-;-;-;-;737;-;-;-;-;-
Theobroma (RO);-;219;-;...;-;-;-;-;41;-;-;4101;-;-;-;...;2028;6979;-;6979;...;120;...;-;-;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;7780;-;-;-;228;-;8790;-;-;-;-;-;-;-;7316;-;-;-;-;-;-;148;-
Urupá (RO);-;-;-;...;-;-;-;-;-;-;-;392;-;-;-;...;872;971;-;971;...;31;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2514;-;16;-;31;-;405;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-
Vale do Anari (RO);-;24;28;...;-;-;-;32;1564;-;-;569;-;-;-;...;204;5804;-;5804;...;230;...;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;10;6;-;81;47;-;-;-;26;-;7180;-;29;-;162;-;5687;-;-;-;-;27;-;-;18422;-;8;98;-;-;-;21;-
Vale do Paraíso (RO);-;-;-;...;-;-;-;-;-;-;-;538;-;-;-;...;1432;920;-;920;...;59;...;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;21;8;-;-;-;33;-;780;-;58;-;96;-;99;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-
Acrelândia (AC);-;780;-;...;-;-;-;-;68;-;-;19500;36;-;11;...;-;9146;-;9146;...;224;...;-;-;-;-;-;-;23;-;-;-;-;430;-;-;-;-;-;-;628;576;-;-;-;342;-;3744;-;175;-;406;-;3038;-;15;-;-;-;-;-;-;-;115;-;-;-;-;17;-
Assis Brasil (AC);-;406;-;...;-;-;-;-;214;-;-;2963;-;-;-;...;-;330;-;330;...;62;...;-;-;-;-;-;-;14;-;-;-;-;690;-;-;-;-;-;-;50;35;-;-;-;39;-;3244;-;-;-;392;-;857;-;-;-;-;-;-;-;-;-;23;-;-;-;-;3;-
Brasiléia (AC);-;437;-;...;-;-;-;-;399;-;-;2155;32;-;16;...;-;2070;-;2070;...;48;...;-;-;-;-;-;-;19;-;-;-;-;1430;-;-;-;-;-;-;154;105;-;-;-;108;-;6548;-;55;-;435;-;4428;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-
Bujari (AC);-;845;420;...;-;-;-;-;79;-;-;2739;50;-;17;...;-;-;-;-;...;187;...;-;-;-;-;-;-;38;-;-;-;-;462;-;-;-;-;-;-;344;757;-;-;-;125;-;5645;-;96;-;1197;-;4465;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-
Capixaba (AC);-;2028;-;...;-;-;-;105;177;-;-;4114;45;-;324;...;-;32;-;32;...;75;...;-;-;-;-;-;-;13;-;-;-;-;287;-;-;-;-;-;-;247;194;-;-;-;185;-;7198;-;770;-;964;-;19797;-;-;-;-;-;-;-;9838;-;83;-;-;-;-;-;-
Cruzeiro do Sul (AC);-;1170;-;...;-;-;-;-;306;-;-;2915;87;-;-;...;-;-;-;-;...;275;...;-;-;-;-;-;-;221;-;-;-;-;702;-;-;-;-;-;-;339;108;-;-;-;154;-;22927;-;-;-;912;-;1602;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-
Epitaciolândia (AC);-;2250;-;...;-;-;-;-;266;-;-;3512;47;-;11;...;-;264;-;264;...;51;...;-;-;-;-;-;-;43;-;-;-;-;525;-;-;-;-;-;-;150;102;-;-;-;115;-;5943;-;77;-;855;-;6962;-;-;-;-;-;-;-;61;-;57;-;-;-;-;7;-
Feijó (AC);-;513;-;...;-;-;-;-;328;-;-;5156;-;-;-;...;-;292;-;292;...;108;...;-;-;-;-;-;-;49;-;-;-;-;389;-;70;-;-;-;-;184;127;-;-;-;190;-;18315;-;41;-;531;-;6023;-;-;-;-;-;-;-;-;-;134;-;-;-;-;-;-
Jordão (AC);-;263;-;...;-;-;-;-;53;-;-;936;-;-;-;...;-;-;-;-;...;44;...;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;63;40;-;-;-;61;-;4640;-;-;-;198;-;720;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-
Mâncio Lima (AC);-;156;-;...;-;-;-;-;164;-;-;442;-;-;-;...;-;720;-;720;...;152;...;-;-;-;-;-;-;147;-;-;-;-;666;-;-;-;-;-;-;63;80;-;-;-;130;-;17243;-;53;-;1091;-;903;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-
Manoel Urbano (AC);-;138;-;...;-;-;-;-;79;-;-;5047;40;-;-;...;-;935;-;935;...;60;...;-;-;-;-;-;-;12;-;-;-;-;444;-;-;-;-;-;-;82;168;-;-;-;67;-;2776;-;53;-;365;-;1425;-;-;-;-;-;-;-;-;-;49;-;-;-;-;19;-
Marechal Thaumaturgo (AC);-;238;-;...;-;-;-;-;191;-;-;1035;-;-;-;...;-;-;-;-;...;179;...;-;-;-;-;-;-;13;-;-;-;-;856;-;647;-;-;-;-;54;26;-;-;-;49;-;15010;-;-;-;999;-;1041;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-
Plácido de Castro (AC);-;390;-;...;-;-;-;68;22;-;-;4509;131;-;187;...;-;284;-;284;...;52;...;-;-;-;-;-;-;30;-;-;-;-;126;-;-;-;-;-;-;1302;1760;-;-;-;156;-;5805;-;405;-;317;-;16240;-;-;-;-;-;-;-;26094;-;248;-;-;-;-;-;-
Porto Walter (AC);-;79;-;...;-;-;-;-;79;-;-;1158;45;-;-;...;-;-;-;-;...;99;...;-;-;-;-;-;-;12;-;-;-;-;463;-;-;-;-;-;-;37;29;-;-;-;33;-;6328;-;-;-;249;-;350;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-
Rio Branco (AC);-;879;-;...;-;-;-;-;144;-;-;6673;105;-;22;...;-;30;-;30;...;134;...;-;-;-;-;-;-;68;-;-;-;-;640;-;-;-;-;-;-;441;369;-;-;-;185;-;11620;-;487;-;1463;-;18123;-;-;-;-;-;-;-;12191;-;169;-;-;-;-;35;-
Rodrigues Alves (AC);-;318;-;...;-;-;-;-;342;-;-;501;18;-;-;...;-;-;-;-;...;100;...;-;-;-;-;-;-;155;-;-;-;-;639;-;-;-;-;-;-;46;127;-;-;-;35;-;16359;-;-;-;359;-;613;-;-;-;-;-;-;-;-;-;58;-;-;-;-;7;-
Santa Rosa do Purus (AC);-;200;-;...;-;-;-;204;39;-;-;2109;129;-;-;...;-;-;-;-;...;39;...;-;-;-;-;-;-;8;-;-;-;-;122;-;-;-;-;-;-;67;66;-;-;-;75;-;2356;-;-;-;385;-;538;-;-;-;-;-;-;-;-;-;21;-;-;-;-;8;-
Senador Guiomard (AC);-;780;-;...;-;-;-;34;57;-;-;3223;96;-;275;...;-;356;-;356;...;60;...;-;-;-;-;-;-;135;-;-;-;-;225;-;-;-;-;-;-;328;345;-;-;-;234;-;6808;-;1347;-;2136;-;19301;-;210;-;-;-;-;-;2250;-;299;-;-;-;-;18;-
Sena Madureira (AC);-;330;-;...;-;-;-;-;300;-;-;2640;66;-;32;...;-;129;-;129;...;66;...;-;-;-;-;-;-;59;-;-;-;-;1578;-;245;-;-;-;-;494;266;-;-;-;216;-;14832;-;74;-;475;-;3824;-;-;-;-;-;-;-;-;-;134;-;-;-;-;14;-
Tarauacá (AC);-;1440;-;...;-;-;-;-;358;-;-;6094;-;-;-;...;-;-;-;-;...;166;...;-;-;-;-;-;-;33;-;-;-;-;410;-;-;-;-;-;-;231;77;-;-;-;159;-;22000;-;23;-;718;-;5480;-;-;-;-;-;-;-;-;-;116;-;-;-;-;6;-
Xapuri (AC);-;329;-;...;-;-;-;-;588;-;-;2381;-;-;22;...;-;185;-;185;...;113;...;-;-;-;-;-;-;9;-;-;-;-;923;-;-;-;-;-;-;133;27;-;-;-;88;-;7450;-;37;-;651;-;5617;-;-;-;-;-;-;-;1500;-;22;-;-;-;-;-;-
Porto Acre (AC);-;2184;-;...;-;-;-;18;145;-;-;9059;94;-;-;...;-;402;-;402;...;65;...;-;-;-;-;-;-;63;-;-;-;-;252;-;-;-;-;-;-;481;240;-;-;-;453;-;7574;-;198;-;1191;-;9647;-;-;-;-;-;-;-;-;-;113;-;-;-;-;6;-
Alvarães (AM);-;137;1025;...;-;-;-;-;-;-;-;390;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;55000;-;-;-;156;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Amaturá (AM);7;1520;-;...;-;-;-;-;-;-;-;1294;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;4558;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anamã (AM);-;-;450;...;-;-;-;-;-;-;-;750;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;170;1400;-;1200;-;540;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anori (AM);-;-;1120;...;-;-;-;-;-;-;-;400;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;38;-;-;-;13;-;-;2072;160;-;1680;-;20;-;101;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Apuí (AM);-;290;-;...;-;-;-;-;192;-;-;1400;105;-;-;...;50;840;-;840;...;-;...;-;-;-;-;-;-;110;-;-;-;-;15;-;-;-;-;560;-;216;32;-;-;-;-;-;6655;-;117;-;3600;-;1350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Atalaia do Norte (AM);150;625;150;...;-;-;-;-;-;-;-;5950;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;210;60;-;-;-;370;-;4930;-;-;-;345;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Autazes (AM);-;546;240;...;-;-;-;-;-;-;-;3600;-;-;-;...;119;24;-;24;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;-;389;-;-;-;-;825;-;54000;-;1680;-;1642;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
