Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Presidente Médici (RO);-;5;-;...;-;-;-;6;40;-;-;60;-;-;-;...;73;278;-;278;...;30;...;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;30;7;-;-;-;2;-;150;-;1;-;1;-;200;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5;10
Rio Crespo (RO);-;25;-;...;-;-;-;-;2805;-;-;40;-;-;-;...;10;55;-;55;...;-;...;-;-;-;-;-;-;-;-;-;-;-;610;-;-;-;-;2;-;-;-;-;-;-;-;-;285;-;-;-;6;-;8150;-;-;-;-;-;-;-;26410;-;-;-;-;-;-;60;-
Rolim de Moura (RO);-;50;2;...;-;-;-;15;100;-;-;100;-;-;-;...;61;1333;-;1333;...;10;...;-;-;-;-;-;-;6;-;-;-;-;50;-;-;-;2;4;-;60;5;-;-;-;20;-;300;-;20;-;20;-;4800;-;-;-;-;2;-;-;5000;-;-;3;-;-;-;-;-
Santa Luzia D'Oeste (RO);-;1;-;...;-;-;-;-;-;-;-;50;-;-;-;...;44;455;-;455;...;50;...;-;-;-;-;-;-;1;-;-;-;-;130;-;-;-;1;-;-;4;-;-;-;-;-;-;116;-;1;-;1;-;2539;-;-;-;-;-;-;-;4439;-;-;20;-;-;-;-;-
Vilhena (RO);-;18;-;...;-;-;-;3;300;-;-;5;-;-;-;...;2;11;-;11;...;2;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;2;-;-;8;3;-;-;-;3;-;30;-;-;-;2;-;33015;-;-;-;-;-;-;-;43000;-;2;11;-;-;-;2;-
São Miguel do Guaporé (RO);-;-;-;...;-;-;-;-;9511;-;-;13;-;-;-;...;4;9864;-;9864;...;-;...;-;-;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;2;-;-;-;-;-;128;-;20;-;4;-;6884;-;-;-;-;-;-;-;15000;-;-;-;-;-;-;160;-
Nova Mamoré (RO);-;20;4;...;-;-;-;2;3000;-;-;150;-;-;-;...;25;550;-;550;...;-;...;-;-;-;-;-;-;4;-;-;-;-;80;-;-;-;-;-;-;3;3;-;-;-;-;-;649;-;2;-;8;-;1200;-;-;-;-;-;-;-;3200;-;-;6;-;-;-;2;-
Alvorada D'Oeste (RO);-;2;1;...;-;-;-;-;150;-;-;65;-;-;-;...;63;1180;-;1180;...;20;...;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;3;-;-;3;1;-;-;-;-;-;240;-;3;-;28;-;170;-;-;-;-;3;-;-;600;-;-;6;-;-;-;6;-
Alto Alegre dos Parecis (RO);-;3;1;...;-;-;-;5;100;-;-;70;-;-;-;...;10;4050;-;4050;...;12;...;-;-;-;-;-;-;1;-;-;-;-;5000;-;-;-;9;-;-;12;10;-;-;-;4;-;210;-;7;-;12;-;37500;-;-;-;-;7;-;-;785;-;1;3;-;-;-;1;-
Alto Paraíso (RO);-;15;5;...;-;-;-;3;1500;-;-;347;-;-;-;...;47;678;-;678;...;-;...;-;-;-;-;-;-;5;-;-;-;-;20;-;-;-;-;20;-;10;10;-;-;-;5;-;70;-;5;-;50;-;10728;-;-;-;-;2;-;-;19096;-;-;3;-;-;-;5;-
Buritis (RO);-;16;45;...;-;-;-;8;5;-;-;995;-;-;-;...;1042;4700;-;4700;...;-;...;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;1;-;-;2;8;-;-;-;8;-;400;-;8;-;60;-;900;-;-;-;-;-;-;-;220;-;-;5;-;-;-;3;-
Novo Horizonte do Oeste (RO);-;4;5;...;-;-;-;-;55;-;-;65;-;-;-;...;10;2110;-;2110;...;-;...;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;160;-;12;-;-;-;1885;-;-;-;-;1;-;-;1594;-;-;1;-;-;-;5;-
Cacaulândia (RO);-;4;2;...;-;-;-;1;-;-;-;40;-;-;-;...;405;40;-;40;...;25;...;-;-;-;-;-;-;5;-;-;-;-;5;-;-;-;1;-;-;6;2;-;-;-;2;-;100;-;3;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-
Campo Novo de Rondônia (RO);-;5;-;...;-;-;-;3;200;-;-;175;-;-;-;...;113;739;-;739;...;1;...;-;-;-;-;-;-;1;-;-;-;-;30;-;-;-;1;-;-;2;2;-;-;-;-;-;410;-;6;-;6;-;420;-;-;-;-;-;-;-;240;-;-;-;-;-;-;-;-
Candeias do Jamari (RO);-;25;50;...;-;-;-;1;500;-;-;120;-;-;-;...;67;192;-;192;...;25;...;-;-;-;-;-;-;8;-;-;-;-;20;-;-;-;7;7;-;4;15;-;-;-;10;-;1621;-;15;-;50;-;2400;-;-;-;-;4;-;-;1200;-;2;-;-;-;-;4;-
Castanheiras (RO);-;2;-;...;-;-;-;-;5;-;-;14;-;-;-;...;4;45;-;45;...;-;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;2;-;-;-;-;-;28;-;17;-;9;-;3176;-;-;-;-;1;-;-;3861;-;-;-;-;-;-;2;-
Chupinguaia (RO);-;20;-;...;-;-;-;1;1;-;-;48;-;-;-;...;2;48;-;48;...;10;...;-;-;-;-;-;-;1;-;-;-;-;20;-;-;-;-;-;-;1;1;-;-;-;1;-;110;-;1;-;12;-;20060;-;-;-;-;-;-;-;37000;-;-;-;-;-;-;25;-
Cujubim (RO);-;180;1;...;-;-;-;1;3000;-;-;20;-;-;-;...;12;200;-;200;...;3;...;-;-;-;-;-;-;1;-;-;-;-;1320;-;-;-;1;10;-;3;1;-;-;-;1;-;150;-;4;-;10;-;2350;-;-;-;-;1;-;-;19868;-;2;-;-;-;-;22;-
Governador Jorge Teixeira (RO);-;2;-;...;-;-;-;8;2;-;-;370;-;-;-;...;508;210;-;210;...;13;...;-;-;-;-;-;-;3;-;-;-;-;70;-;-;-;3;-;-;2;2;-;-;-;-;-;230;-;3;-;8;-;300;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-
Itapuã do Oeste (RO);-;8;10;...;-;-;-;-;2400;-;-;10;-;-;-;...;7;33;-;33;...;1;...;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;8;1;-;-;-;3;-;300;-;1;-;-;-;367;-;-;-;-;-;-;-;3370;-;-;2;-;-;-;2;-
Ministro Andreazza (RO);-;1;-;...;-;-;-;-;6;-;-;130;-;-;-;...;30;5700;-;5700;...;-;...;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;2;-;-;8;59;-;-;-;28;-;60;-;4;-;2;-;300;-;-;-;-;-;-;-;-;-;30;1;-;-;-;-;-
Mirante da Serra (RO);-;9;1;...;-;-;-;5;5;-;-;15;-;-;-;...;130;540;-;540;...;6;...;-;-;-;-;-;-;2;-;-;-;-;12;-;-;-;-;-;-;2;2;-;-;-;1;-;245;-;-;-;5;-;1800;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-
Monte Negro (RO);-;2;-;...;-;-;-;-;6;-;-;320;-;-;-;...;184;140;-;140;...;5;...;-;-;-;-;-;-;10;-;-;-;-;25;-;-;-;-;-;-;2;3;-;-;-;4;-;430;-;5;-;20;-;110;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3;-
Nova União (RO);-;5;-;...;-;-;-;3;4;-;-;49;-;-;-;...;349;334;-;334;...;22;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;1;-;-;-;-;1;-;56;-;-;-;1;-;316;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
Parecis (RO);-;1;-;...;-;-;-;-;10;-;-;20;-;-;-;...;2;75;-;75;...;-;...;-;-;-;-;-;-;1;-;-;-;-;50;-;-;-;-;-;-;1;-;-;-;-;-;-;104;-;2;-;2;-;847;-;-;-;-;-;-;-;1570;-;-;-;-;-;-;-;-
Pimenteiras do Oeste (RO);-;2;-;...;-;-;-;-;3000;-;-;10;-;-;-;...;-;4;-;4;...;10;...;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;35505;-;-;-;-;-;-;-;44100;-;-;-;-;-;-;2;-
Primavera de Rondônia (RO);-;3;4;...;-;-;-;1;50;-;-;15;-;-;-;...;5;181;-;181;...;20;...;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;3;3;-;-;-;2;-;97;-;1;-;20;-;70;-;-;-;-;2;-;-;50;-;2;4;-;-;-;1;-
São Felipe D'Oeste (RO);-;1;1;...;-;-;-;1;4;-;-;121;-;-;-;...;72;213;-;213;...;3;...;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;1;-;-;3;1;-;-;-;3;-;67;-;3;-;6;-;3775;-;-;-;-;3;-;-;1392;-;1;7;-;-;-;5;-
São Francisco do Guaporé (RO);-;6;-;...;-;-;-;-;1300;-;-;8;-;-;-;...;7;800;-;800;...;-;...;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;5;-;1490;-;-;-;-;2;-;-;1800;-;-;1;-;-;-;60;1
Seringueiras (RO);-;2;-;...;-;-;-;1;100;-;-;40;-;-;-;...;29;1137;-;1137;...;3;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;30;-;4;-;1150;-;-;-;-;2;-;-;3337;-;-;2;-;-;-;20;-
Teixeirópolis (RO);-;1;-;...;-;-;-;-;-;-;-;20;-;-;-;...;55;22;-;22;...;-;...;-;-;-;-;-;-;3;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;2;-;40;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-
Theobroma (RO);-;5;-;...;-;-;-;-;15;-;-;155;-;-;-;...;206;290;-;290;...;15;...;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;414;-;-;-;12;-;1357;-;-;-;-;-;-;-;833;-;-;-;-;-;-;30;-
Urupá (RO);-;-;-;...;-;-;-;-;-;-;-;20;-;-;-;...;208;150;-;150;...;4;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90;-;1;-;1;-;247;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
Vale do Anari (RO);-;1;2;...;-;-;-;2;240;-;-;30;-;-;-;...;30;315;-;315;...;19;...;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;1;-;4;4;-;-;-;1;-;450;-;2;-;5;-;2400;-;-;-;-;2;-;-;2077;-;1;1;-;-;-;3;-
Vale do Paraíso (RO);-;-;-;...;-;-;-;-;-;-;-;27;-;-;-;...;325;200;-;200;...;5;...;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;30;-;2;-;4;-;50;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
Acrelândia (AC);-;25;-;...;-;-;-;-;60;-;-;1300;3;-;48;...;-;500;-;500;...;70;...;-;-;-;-;-;-;6;-;-;-;-;200;-;-;-;-;-;-;55;43;-;-;-;30;-;450;-;9;-;32;-;900;-;9;-;-;-;-;-;-;-;13;-;-;-;-;5;-
Assis Brasil (AC);-;13;-;...;-;-;-;-;190;-;-;260;-;-;-;...;-;45;-;45;...;15;...;-;-;-;-;-;-;4;-;-;-;-;230;-;-;-;-;-;-;5;3;-;-;-;5;-;320;-;-;-;32;-;550;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-
Brasiléia (AC);-;14;-;...;-;-;-;-;350;-;-;180;3;-;64;...;-;150;-;150;...;12;...;-;-;-;-;-;-;5;-;-;-;-;520;-;-;-;-;-;-;13;8;-;-;-;12;-;520;-;3;-;35;-;1545;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-
Bujari (AC);-;25;130;...;-;-;-;-;75;-;-;220;4;-;76;...;-;-;-;-;...;45;...;-;-;-;-;-;-;9;-;-;-;-;200;-;-;-;-;-;-;32;44;-;-;-;11;-;550;-;5;-;90;-;1430;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-
Capixaba (AC);-;60;-;...;-;-;-;17;145;-;-;310;4;-;75;...;-;5;-;5;...;30;...;-;-;-;-;-;-;3;-;-;-;-;140;-;-;-;-;-;-;20;18;-;-;-;15;-;600;-;30;-;70;-;3300;-;-;-;-;-;-;-;1155;-;9;-;-;-;-;-;-
Cruzeiro do Sul (AC);-;35;-;...;-;-;-;-;220;-;-;350;9;-;-;...;-;-;-;-;...;40;...;-;-;-;-;-;-;25;145;-;-;-;350;-;-;-;-;-;-;35;10;-;-;-;13;-;2500;-;-;-;80;-;730;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-
Epitaciolândia (AC);-;75;-;...;-;-;-;-;200;-;-;250;4;-;30;...;-;30;-;30;...;12;...;-;-;-;-;-;-;9;-;-;-;-;190;-;-;-;-;-;-;13;9;-;-;-;11;-;530;-;4;-;70;-;1580;-;-;-;-;-;-;-;70;-;5;-;-;-;-;2;-
Feijó (AC);-;20;-;...;-;-;-;-;250;-;-;700;-;-;-;...;-;30;-;30;...;20;...;-;-;-;-;-;-;10;-;-;-;-;145;-;12;-;-;-;-;18;13;-;-;-;20;-;2050;-;2;-;53;-;2900;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-
Jordão (AC);-;10;-;...;-;-;-;-;45;-;-;130;-;-;-;...;-;-;-;-;...;10;...;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;5;4;-;-;-;8;-;500;-;-;-;22;-;430;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-
Mâncio Lima (AC);-;6;-;...;-;-;-;-;130;-;-;70;-;-;-;...;-;20;-;20;...;20;...;-;-;-;-;-;-;17;-;-;-;-;280;-;-;-;-;-;-;5;6;-;-;-;10;-;2060;-;4;-;100;-;480;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-
Manoel Urbano (AC);-;5;-;...;-;-;-;-;70;-;-;380;4;-;-;...;-;100;-;100;...;15;...;-;-;-;-;-;-;3;-;-;-;-;175;-;-;-;-;-;-;7;14;-;-;-;7;-;300;-;3;-;32;-;590;-;-;-;-;-;-;-;-;-;5;-;-;-;-;6;-
Marechal Thaumaturgo (AC);-;8;-;...;-;-;-;-;150;-;-;130;-;-;-;...;-;-;-;-;...;25;...;-;-;-;-;-;-;2;-;-;-;-;420;-;100;-;-;-;-;5;3;-;-;-;5;-;1900;-;-;-;85;-;640;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-
Plácido de Castro (AC);-;12;-;...;-;-;-;10;20;-;-;350;9;-;140;...;-;45;-;45;...;13;...;-;-;-;-;-;-;6;-;-;-;-;55;-;-;-;-;-;-;100;120;-;-;-;12;-;500;-;16;-;25;-;3200;-;-;-;-;-;-;-;3000;-;28;-;-;-;-;-;-
Porto Walter (AC);-;3;-;...;-;-;-;-;65;-;-;150;4;-;-;...;-;-;-;-;...;15;...;-;-;-;-;-;-;2;-;-;-;-;210;-;-;-;-;-;-;4;2;-;-;-;4;-;760;-;-;-;25;-;220;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-
Rio Branco (AC);-;26;-;...;-;-;-;-;120;-;-;550;8;-;17;...;-;5;-;5;...;30;...;-;-;-;-;-;-;16;-;-;-;-;260;-;-;-;-;-;-;37;26;-;-;-;14;-;1050;-;20;-;110;-;3750;-;-;-;-;-;-;-;1360;-;17;-;-;-;-;12;-
Rodrigues Alves (AC);-;15;-;...;-;-;-;-;250;-;-;85;2;-;-;...;-;-;-;-;...;15;...;-;-;-;-;-;-;20;-;-;-;-;300;-;-;-;-;-;-;5;10;-;-;-;3;-;1950;-;-;-;40;-;450;-;-;-;-;-;-;-;-;-;5;-;-;-;-;2;-
Santa Rosa do Purus (AC);-;8;-;...;-;-;-;50;35;-;-;190;10;-;-;...;-;-;-;-;...;11;...;-;-;-;-;-;-;2;-;-;-;-;45;-;-;-;-;-;-;6;5;-;-;-;8;-;250;-;-;-;35;-;260;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3;-
Senador Guiomard (AC);-;26;-;...;-;-;-;5;57;-;-;270;8;-;250;...;-;50;-;50;...;15;...;-;-;-;-;-;-;30;-;-;-;-;90;-;-;-;-;-;-;30;25;-;-;-;21;-;660;-;60;-;155;-;3120;-;83;-;-;-;-;-;400;-;25;-;-;-;-;6;-
Sena Madureira (AC);-;12;-;...;-;-;-;-;250;-;-;225;7;-;76;...;-;25;-;25;...;15;...;-;-;-;-;-;-;15;-;-;-;-;650;-;30;-;-;-;-;45;28;-;-;-;20;-;1700;-;4;-;40;-;1750;-;-;-;-;-;-;-;-;-;13;-;-;-;-;4;-
Tarauacá (AC);-;55;-;...;-;-;-;-;320;-;-;750;-;-;-;...;-;-;-;-;...;30;...;-;-;-;-;-;-;8;-;-;-;-;150;-;-;-;-;-;-;18;9;-;-;-;24;-;2350;-;1;-;65;-;2600;-;-;-;-;-;-;-;-;-;10;-;-;-;-;2;-
Xapuri (AC);-;13;-;...;-;-;-;-;510;-;-;220;-;-;25;...;-;60;-;60;...;30;...;-;-;-;-;-;-;3;-;-;-;-;380;-;-;-;-;-;-;12;3;-;-;-;10;-;750;-;2;-;55;-;1580;-;-;-;-;-;-;-;200;-;3;-;-;-;-;-;-
Porto Acre (AC);-;60;-;...;-;-;-;3;125;-;-;700;8;-;-;...;-;35;-;35;...;15;...;-;-;-;-;-;-;14;-;-;-;-;100;-;-;-;-;-;-;35;17;-;-;-;30;-;750;-;10;-;90;-;2100;-;-;-;-;-;-;-;-;-;11;-;-;-;-;2;-
Alvarães (AM);-;3;68;...;-;-;-;-;-;-;-;24;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5202;-;-;-;11;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Amaturá (AM);1;20;-;...;-;-;-;-;-;-;-;55;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;213;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anamã (AM);-;-;30;...;-;-;-;-;-;-;-;45;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;40;-;100;-;15;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anori (AM);-;-;60;...;-;-;-;-;-;-;-;20;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;3;-;-;-;3;-;-;360;5;-;120;-;2;-;10;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Apuí (AM);-;7;-;...;-;-;-;-;73;-;-;55;5;-;-;...;40;177;-;177;...;-;...;-;-;-;-;-;-;28;-;-;-;-;7;-;-;-;-;100;-;9;4;-;-;-;-;-;500;-;5;-;100;-;650;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Atalaia do Norte (AM);3;5;3;...;-;-;-;-;-;-;-;130;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;3;2;-;-;-;4;-;260;-;-;-;10;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Autazes (AM);-;26;10;...;-;-;-;-;-;-;-;155;-;-;-;...;40;6;-;6;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;27;-;-;-;-;25;-;5000;-;46;-;48;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barcelos (AM);-;12;30;...;-;-;-;-;-;-;-;20;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;12;-;6;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
